Song_id,Song,Singer/Artists,Album/Movie,User-Rating,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,mfccs_mean_0,mfccs_mean_1,mfccs_mean_2,mfccs_mean_3,mfccs_mean_4,mfccs_mean_5,mfccs_mean_6,mfccs_mean_7,mfccs_mean_8,mfccs_mean_9,mfccs_mean_10,mfccs_mean_11,mfccs_mean_12,mfccs_std_0,mfccs_std_1,mfccs_std_2,mfccs_std_3,mfccs_std_4,mfccs_std_5,mfccs_std_6,mfccs_std_7,mfccs_std_8,mfccs_std_9,mfccs_std_10,mfccs_std_11,mfccs_std_12,cent_mean,cent_std,cent_skew,contrast_mean_0,contrast_mean_1,contrast_mean_2,contrast_mean_3,contrast_mean_4,contrast_mean_5,contrast_mean_6,contrast_std_0,contrast_std_1,contrast_std_2,contrast_std_3,contrast_std_4,contrast_std_5,contrast_std_6,rolloff_mean,rolloff_std,rolloff_skew,zrate_mean,zrate_std,zrate_skew,tempo,Genre
125, Dil Ashkon Mein,"Sonu Kakkar, Tony Kakkar",Fever,9.4/10,0.247415987,0.26465432,0.317625598,0.260324184,0.173066645,0.137711508,0.196346529,0.236165023,0.19420596,0.148380605,0.182988075,0.259955333,0.204340844,0.153663616,0.2021497,0.171850635,0.196037135,0.149461454,0.178285983,0.213649507,0.1522071,0.167424194,0.165416376,0.208627878,-202.998727,132.5877279,5.166476124,35.85566943,-0.283068067,18.79170145,-24.68947797,26.45335962,-17.98357787,-7.204028407,4.101282565,-9.742758655,-6.049100089,74.36141507,30.42962526,26.93215547,20.16364101,18.86572943,15.76239544,18.82594856,17.08686648,14.7406419,14.15339068,12.79217799,11.92217404,16.98444693,3187.059534,1394.766598,0.363742145,20.07361303,15.99900832,24.38644337,26.43886319,25.31046541,32.36310835,47.31860917,6.150356342,4.955019896,5.477155304,5.311726445,4.876345986,8.002244646,6.950835762,7675.776604,3552.819261,-0.591148971,0.044262294,0.027306378,1.429101858,90.66611842,BollywoodRomantic
126, Dil Deewana Bin Sajna Ke,S.P. Balasubrahmanyam,Maine Pyar Kiya,9.0/10,0.269322619,0.293307287,0.217213157,0.208691456,0.259669549,0.219192433,0.143905636,0.139630098,0.296224091,0.379885588,0.314221039,0.207519211,0.119656662,0.135757473,0.136100213,0.118787045,0.147382644,0.122965141,0.152733344,0.108524977,0.12515316,0.147571161,0.129147438,0.172378529,-299.4393372,158.8130824,-29.78222273,17.48580432,-7.780711655,2.818654821,-15.97691324,-0.063151206,3.622449362,-1.181313494,-13.53125212,2.951062612,3.011401125,44.44153913,21.35637663,25.05128641,17.90899223,14.9480456,14.64961643,14.39428904,12.10062302,11.64527226,11.58178127,13.50984317,10.85418832,12.50146982,2277.385562,617.6186583,1.425241414,16.55843865,14.10247815,20.64907883,22.1308686,22.46199027,24.22033599,39.45119552,5.099274221,4.859947272,5.528265646,5.741931806,6.111902213,6.627592807,2.17388823,4268.88778,1559.375766,1.077404122,0.044715071,0.016642619,1.234357093,86.1328125,BollywoodDance
127, Dil Dhadakne Do,"Joi Barua, Shankar Mahadevan, Suraj Jagan",Zindagi Na Milegi Dobara,9.5/10,0.174477414,0.237006918,0.29404332,0.247525621,0.172770671,0.171570816,0.238588283,0.2621596,0.302024165,0.317980011,0.267433897,0.204562761,0.126821621,0.147072807,0.179806048,0.123316122,0.133439077,0.108935748,0.162375945,0.1941535,0.139588135,0.16384129,0.137190366,0.158986366,-156.7303088,139.7114736,-20.4921704,37.79112143,-2.641759014,17.88221446,-8.889345852,9.032768253,-5.572394442,7.075334169,-1.823067165,0.981982447,0.498410495,85.42815848,33.70088542,20.6555462,16.10040308,17.35741634,11.28848646,11.46001886,10.5137372,10.21651724,10.7299875,12.08877153,11.37900977,11.04218779,3182.672965,1301.279508,0.846479853,20.08663202,13.96170385,17.59479438,19.70171197,18.85966824,19.49333305,44.26596368,6.702745534,4.591777866,4.763304327,4.865948138,3.982981228,3.673537616,8.263084248,6907.517994,2850.588303,0.162899395,0.044116149,0.026926124,2.64436755,117.4538352,Bollywood
128, Dil Diyan Gallan,Atif Aslam,Tiger Zinda Hai,9.1/10,0.14104929,0.176579414,0.214405742,0.185535821,0.20269426,0.223246603,0.301373936,0.313545178,0.300206124,0.275905423,0.235561596,0.177988402,0.144385434,0.160318994,0.176959401,0.143302679,0.169413252,0.142071441,0.175307465,0.195951441,0.152963767,0.191695016,0.153282013,0.18708085,-221.984432,162.4611537,16.09359302,30.81030404,7.707081069,18.88825873,-10.85484578,8.037891499,1.51386333,-4.410708265,2.591589729,5.623132882,-0.125306584,67.43718854,31.50686178,20.12137666,16.48452781,15.31807845,15.65994717,14.793883,13.26332724,9.739239205,11.58489536,10.11727106,10.22756766,10.59889883,1885.594301,1065.295846,3.460753702,22.41561465,14.93869774,20.8745256,24.18052805,23.00894523,25.63450439,42.45937432,6.739099603,4.77964744,4.816379619,5.079003235,4.861483056,6.406152702,6.310215597,3882.245966,2615.601678,1.495663188,0.023168926,0.022830129,15.67650674,105.46875,BollywoodRomantic
129, Dil Jo Na Keh Saka,"Shail Hada, Shreya Ghoshal",Dil Jo Na Keh Saka,8.6/10,0.297492739,0.316333705,0.251009364,0.202245776,0.246019434,0.292174036,0.226278352,0.222559783,0.233324825,0.171220594,0.149496984,0.16306413,0.155214795,0.183922637,0.19132927,0.162203331,0.148311793,0.178746356,0.142714607,0.167311758,0.17190598,0.144605431,0.180673315,0.148159527,-203.2079413,157.6113526,-1.509703727,28.42351674,2.132739613,10.68151163,-3.362295175,4.149391934,-9.039588716,-6.778594356,-3.749009852,-8.518653385,-1.397483452,62.94985518,27.08855996,22.22539472,17.74937026,14.61380834,13.42295951,13.9161819,12.89966832,14.26259986,12.31827606,12.93343225,12.53156141,13.42775526,2142.479591,1148.933893,1.974878581,23.30969876,13.72239242,21.59802586,23.70565814,22.81910582,23.44191046,44.13533529,7.425072068,4.638745848,5.076964656,5.127807949,4.692528913,5.105718438,6.138261713,4474.238486,2689.583061,1.091112798,0.025956161,0.016723551,4.402256248,97.50884434,BollywoodSad
130, Dil Ka Qaraar,"Shraddha Pandit, Sonu Nigam",Sangharsh,9.3/10,0.253271377,0.193400227,0.182297448,0.1955441,0.17076402,0.230441958,0.306380601,0.242954983,0.182875941,0.216194322,0.305356451,0.322775123,0.150615616,0.165280062,0.149342068,0.17531989,0.159571057,0.137482655,0.174909311,0.135041836,0.153991297,0.148514943,0.167100042,0.182483459,-287.6043499,132.0936308,-9.985250002,29.83797131,-4.295427975,11.71884196,-5.609658472,14.68487705,-0.554456674,1.815149235,-3.087799313,1.804317372,-0.926105109,69.39171555,31.89553342,22.41123124,17.97530449,17.2394913,14.11664592,14.92457958,15.56355061,12.93112508,13.83523456,14.83819656,13.28337856,12.69936113,2937.603149,1267.385808,0.87648126,22.97107765,17.25010718,22.76424909,25.01283803,23.71498724,24.26626074,41.71422258,6.168638005,4.970310831,5.866659904,6.090236556,5.181071609,5.141785159,5.122789738,6289.840929,2909.770524,0.317575943,0.041454647,0.022873256,1.379599967,147.65625,BollywoodRomantic
131, Dil Kehta Hai,"Alka Yagnik, Kumar Sanu",Akele Hum Akele Tum,9.3/10,0.245175035,0.178807372,0.180019875,0.266210372,0.29569444,0.256547334,0.234709212,0.230876727,0.177655546,0.152734712,0.231141978,0.305606301,0.15993964,0.159075278,0.18230095,0.162443763,0.21266476,0.153569139,0.175535358,0.166959209,0.146077596,0.171873326,0.150765615,0.172256042,-243.1910571,118.6254019,-34.40018194,51.92115841,-5.506383143,16.3185464,-7.858729758,6.642880722,-3.490823708,-7.091002853,0.921920558,-5.084695868,-5.392277145,79.41032796,31.80171973,23.93057766,18.94956058,17.65022187,14.45023707,15.14515661,13.13514388,13.07983741,14.61053078,14.7164894,13.60980555,13.39533667,3657.208506,1438.140774,1.729381582,22.18118748,15.01943769,22.05143266,25.43876812,24.96048717,23.75308272,45.37170681,7.269109029,4.979909375,5.419340919,5.72681549,5.970462083,4.574864308,6.644644668,7509.305409,2742.34486,1.048602245,0.066466172,0.035941318,0.720516123,105.46875,BollywoodSad
132, Dil Ko Aaya Sukoon,"Hiral Brahmbhatt, Rahat Fateh Ali Khan",Rangrezz,9.3/10,0.219300719,0.159116135,0.17256933,0.228198304,0.328711946,0.372402224,0.304251182,0.207617912,0.22611009,0.295229557,0.285593702,0.231379459,0.128400166,0.097448444,0.132285237,0.150934196,0.11177749,0.154084251,0.109791866,0.11566414,0.107562006,0.119533314,0.128158651,0.119734361,-145.5110334,131.1153358,-31.58412657,37.42594734,-9.665061889,22.27449366,-9.175665948,16.01964665,-2.920749333,3.249646886,6.171929253,5.380460809,5.344231556,55.38742574,20.83778024,16.42292574,11.7125208,11.53042933,11.09607481,10.51647504,11.07033958,10.05529836,9.271286687,9.369250846,10.40986177,8.870322457,3189.382133,949.6779006,1.310994518,22.97176857,12.56076436,19.98012723,20.92585447,20.58437312,21.63076048,48.49350683,6.296747214,4.101801722,5.04452785,4.930201398,4.471525095,4.657953633,6.165832936,6956.477162,2086.358167,0.222622972,0.053802735,0.020990716,1.865295407,87.59269068,Bollywood
133, Dil Kya Kare,Adnan Sami,Salaam-E-Ishq,9.5/10,0.20965641,0.222360349,0.225350338,0.183032055,0.1267798,0.131167243,0.290073936,0.375464246,0.313871739,0.177126372,0.168834726,0.239582503,0.192281695,0.176741954,0.191759306,0.155255113,0.157047342,0.111318199,0.168755249,0.215368334,0.172244133,0.151603302,0.125971695,0.177942295,-213.3853614,139.3627267,-6.071675423,39.99395817,3.864791287,22.62945209,-3.846540956,8.984090922,-0.188132398,3.298576245,-1.555713498,7.773608904,4.478774991,69.11965557,30.16533002,18.51659858,14.45828106,14.08206244,14.0189683,10.23885393,12.82022059,11.36261847,10.73458693,11.02417077,11.15653924,11.19406519,2753.56773,1304.074831,1.744082948,21.54495487,13.40686843,20.68543678,23.53310683,22.4807727,22.41990398,44.70944234,5.783223817,4.189218241,5.091855525,5.254245246,4.501241177,4.890546121,4.805818268,6107.496001,2822.43246,0.373319111,0.033712519,0.034069596,5.990820058,95.703125,BollywoodRomantic
134, Dil Leke,"Shaan, Shreya Ghoshal",Wanted,9.2/10,0.211292541,0.207166203,0.213743817,0.177596316,0.201616985,0.225958919,0.293464083,0.332380501,0.309582705,0.236080514,0.20057466,0.210406349,0.153288565,0.140959668,0.175169977,0.12932148,0.159590137,0.169068787,0.156519564,0.197634825,0.131823947,0.187191493,0.148689011,0.152424849,-186.4011061,135.5954077,-0.107797342,50.04948631,6.616839015,19.667114,-3.077141418,15.53119547,1.638474518,4.490049482,2.168854534,-3.413143224,-1.416532118,55.29130182,26.67544378,18.74608333,19.13812716,14.89855625,12.90621743,15.33652715,14.07267026,12.52484045,12.21534948,11.61426078,11.54779687,11.00419903,2720.516912,1161.835816,0.821869886,18.89918147,15.93417957,23.5475659,24.90728317,23.15786,23.64414514,46.63652785,6.329782749,5.150643317,5.773143403,5.3298947,4.518124267,5.115497756,5.949659969,6248.896666,2722.548148,0.102885902,0.030708882,0.019716163,3.576983132,92.28515625,Bollywood
